Name					Author		From
EmptyBar.tga			Piranha Bytes	Gothic 2
EmptyBarEnd.tga			Piranha Bytes	Gothic 2
EmptyBarStart.tga			Piranha Bytes	Gothic 2
LifeBar.tga				Piranha Bytes	Gothic 2
LifeBarEnd.tga			Piranha Bytes	Gothic 2
LifeBarStart.tga			Piranha Bytes	Gothic 2
ManaBar.tga				Piranha Bytes	Gothic 2
ManaBarEnd.tga			Piranha Bytes	Gothic 2
ManaBarStart.tga			Piranha Bytes	Gothic 2
PerseveranceBar.tga		Piranha Bytes	Gothic 2
PerseveranceBarEnd.tga		Piranha Bytes	Gothic 2
PerseveranceBarStart.tga	Piranha Bytes	Gothic 2
