File				Authors			Source
ATCABTNKonzentration.blp	KelThuzad		http://www.hiveworkshop.com/
ATCDunklerDiener.blp		vercas			http://www.hiveworkshop.com/
ATCHeiligeKraft.blp		Darkfang		http://www.hiveworkshop.com/
ATCInferno.blp			X.e.r.e.X		http://www.hiveworkshop.com/
ATTATBTNKonzentration.blp	KelThuzad		http://www.hiveworkshop.com/
ATTDunklerDiener.blp		vercas			http://www.hiveworkshop.com/
BTNAbsorbation.blp		OgeRfaCes		http://www.hiveworkshop.com/
BTNAnstuermen.blp		The_Silent		http://www.hiveworkshop.com/
BTNBlitzschlag.tga		Crazyrussian		http://www.wc3campaigns.net/
BTNDunklerDiener.blp		vercas			http://www.hiveworkshop.com/
BTNEisgeschoss.tga		Crazyrussian		http://www.wc3campaigns.net/
BTNEiszeit.blp			shamanyouranus		http://www.hiveworkshop.com/
BTNElementareGewalt.blp		ragingspeedhorn		http://www.wc3campaigns.net/
BTNEntzuenden.blp		ChevronSeven		http://www.hiveworkshop.com/
BTNErdgefaengnis.tga		WILL THE ALMIGHTY	http://www.wc3campaigns.net/
BTNErfrierung.tga		Crazyrussian		http://www.wc3campaigns.net/
BTNFeuergeschoss.tga		WILL THE ALMIGHTY	http://www.wc3campaigns.net/
BTNFeuersbrunst.blp		bloodyroadkill		http://www.hiveworkshop.com/
BTNFreeze.blp			~Void~			http://www.hiveworkshop.com/
BTNGleissendesLicht.blp		shamanyouranus		http://www.hiveworkshop.com/
BTNHeiligeKraft.blp		Darkfang		http://www.hiveworkshop.com/
BTNBeherrschung.blp		The_Avenger's_Return	http://www.hiveworkshop.com/
BTNInferno.blp			X.e.r.e.X		http://www.hiveworkshop.com/
BTNKonzentration.blp		KelThuzad		http://www.hiveworkshop.com/
BTNManaShield.blp		OgeRfaCes		http://www.hiveworkshop.com/
BTNPureEnergie.tga		Crazyrussian		http://www.wc3campaigns.net/
BTNSpellBook.blp		CRAZYRUSSIAN		http://www.hiveworkshop.com/
BTNSpells.blp			CRAZYRUSSIAN		http://www.hiveworkshop.com/
BTNTeleportation		Daelin			http://www.wc3campaigns.net/
BTNUnbeugsamkeit.blp		Elenai			http://www.hiveworkshop.com/
BTNZehren.tga			Crazyrussian		http://www.wc3campaigns.net/
DISBTNAbsorbation.blp		OgeRfaCes		http://www.hiveworkshop.com/
DISATCABTNKonzentration.blp	KelThuzad		http://www.hiveworkshop.com/
DISATCDunklerDiener.blp		vercas			http://www.hiveworkshop.com/
DISATCHeiligeKraft.blp		Darkfang		http://www.hiveworkshop.com/
DISATCInferno.blp		X.e.r.e.X		http://www.hiveworkshop.com/
