File			Authors		Source
Beherrschung.mdx	JetFangInferno	http://www.wc3c.net/
Blitzschlag.mdx		Tranquil	http://www.hiveworkshop.com/
ElementareGewalt.mdx	JetFangInferno	http://www.wc3c.net/
Emblaze.mdx		shamanyouranus	http://www.hiveworkshop.com/
Erfahrung.mdx		JetFangInferno	http://www.wc3c.net/
Erfrierung.mdx		Daelin		http://www.wc3c.net/
Feuersbrunst.mdx	Szythe		http://www.wc3c.net/
FreezeBuff.mdx		s4nji		http://www.hiveworkshop.com/
FreezeBuff_Portrait.mdx	s4nji		http://www.hiveworkshop.com/
Genesung.mdx		Daelin		http://www.wc3c.net/
GewaltsamerTod.mdx	JetFangInferno	http://www.wc3c.net/
Inferno.mdx		JetFangInferno	http://www.wc3c.net/
Konzentration.mdx	JetFangInferno	http://www.hiveworkshop.com/
Manaschild.mdx		Szythe		http://www.wc3c.net/
Mehrfachschuss.mdx	JetFangInferno	http://www.wc3c.net/
Peinigen.mdx		Szythe		http://www.wc3c.net/
PureEnergie.mdx		vile		http://www.wc3c.net/
Qualen.mdx		Szythe		http://www.wc3c.net/
Seelendiebstahl.mdx	JetFangInferno	http://www.wc3c.net/
Schmetterschuss.mdx	JetFangInferno	http://www.wc3c.net/
Teleportation.mdx	JetFangInferno	http://www.wc3c.net/
TeleportationZaubernder	exfyre		http://www.hiveworkshop.com/
Verbannen.mdx		shamanyouranus	http://www.hiveworkshop.com/
Wiederbeleben.mdx	Daelin		http://www.wc3c.net/
